IATA,Airport name,Country,City
COI,Merritt Island Airport,United States of America,Merritt Island
COJ,Coonabarabran Airport,Australia,
COK,Cochin International Airport,India,Kochi
COL,Coll Airport,United Kingdom,Coll Island
COM,Coleman Municipal Airport,United States of America,Coleman
CON,Concord Municipal Airport,United States of America,Concord
COO,Cadjehoun Airport,Benin,Cotonou
COP,Cooperstown-Westville Airport,United States of America,Cooperstown
COQ,Choibalsan Airport,Mongolia,
COR,Ingeniero Ambrosio Taravella Airport,Argentina,Cordoba
COS,City of Colorado Springs Municipal Airport,United States of America,Colorado Springs
COT,Cotulla-La Salle County Airport,United States of America,Cotulla
COU,Columbia Regional Airport,United States of America,Columbia
COV,Çukurova International Airport,Turkey,Tarsus
COW,Tambillos Airport,Chile,Coquimbo
COY,Coolawanyah Airport,Australia,Coolawanyah Station
COZ,Constanza - Expedición 14 de Junio National Airport,Dominican Republic,Costanza
CPA,Cape Palmas Airport,Liberia,Harper
CPB,Capurganá Airport,Colombia,Acandí
CPC,Aviador C. Campos Airport,Argentina,Chapelco/San Martin de los Andes
CPD,Coober Pedy Airport,Australia,Coober Pedy
CPE,Ingeniero Alberto Acuña Ongay International Airport,Mexico,Campeche
CPF,Ngloram Airport,Indonesia,Blora
CPG,Carmen de Patagones Airport,Argentina,Carmen de Patagones
CPH,Copenhagen Kastrup Airport,Denmark,Copenhagen
CPI,Cape Orford Airport,Papua New Guinea,
CPL,General Navas Pardo Airport,Colombia,Chaparral
CPM,Compton Woodley Airport,United States of America,Compton
CPN,Cape Rodney Airport,Papua New Guinea,Cape Rodney
CPO,Desierto de Atacama Airport,Chile,Copiapo
CPP,Coposa Airport,Chile,Pica
CPR,Casper-Natrona County International Airport,United States of America,Casper
CPS,St Louis Downtown Airport,United States of America,Cahokia/St Louis
CPT,Cape Town International Airport,South Africa,Cape Town
CPU,Cururupu Airport,Brazil,Cururupu
CPV,Presidente João Suassuna Airport,Brazil,Campina Grande
CPX,Benjamin Rivera Noriega Airport,Puerto Rico,Culebra
CQA,Canarana Airport,Brazil,Canarana
CQD,Shahrekord Airport,Iran,Shahrekord
CQF,Calais Marck Airport,France,Calais
CQM,Ciudad Real International Airport,Spain,Ciudad Real
CQP,Cape Flattery Airport,Australia,
CQS,Costa Marques Airport,Brazil,Costa Marques
CQT,Caquetania Airport,Colombia,Caquetania
CQW,Chongqing Xiannüshan Airport,China,Wulong
CRA,Craiova International Airport,Romania,Craiova
CRB,Collarenebri Airport,Australia,
CRC,Santa Ana Airport,Colombia,Cartago
CRD,General E. Mosconi Airport,Argentina,Comodoro Rivadavia
CRE,Grand Strand Airport,United States of America,North Myrtle Beach
CRF,Carnot Airport,Central African Republic,Carnot
CRG,Jacksonville Executive at Craig Airport,United States of America,Jacksonville
CRH,Cherrabah Airport,Australia,Cherrabah Homestead Resort
CRI,Colonel Hill Airport,Bahamas,Colonel Hill
CRJ,Coorabie Airport,Australia,Coorabie
CRK,Clark International Airport / Clark Air Base,Philippines,Mabalacat
CRL,Brussels South Charleroi Airport,Belgium,Charleroi
CRM,Catarman National Airport,Philippines,Catarman
CRO,Corcoran Airport,United States of America,Corcoran
CRP,Corpus Christi International Airport,United States of America,Corpus Christi
CRQ,Caravelas Airport,Brazil,Caravelas
CRR,Ceres Airport,Argentina,Ceres
CRS,C David Campbell Field Corsicana Municipal Airport,United States of America,Corsicana
CRT,Z M Jack Stell Field,United States of America,Crossett
CRU,Lauriston Airport,Grenada,Carriacou Island
CRV,Crotone Sant'Anna Pythagoras Airport,Italy,Isola di Capo Rizzuto (KR)
CRW,Yeager Airport,United States of America,Charleston
CRX,Roscoe Turner Airport,United States of America,Corinth
CRY,Carlton Hill Airport,Australia,Carlton Hill
CRZ,Türkmenabat International Airport,Turkmenistan,Türkmenabat
CSA,Colonsay Airstrip,United Kingdom,Colonsay
CSB,Caransebeş Airport,Romania,Caransebeş
CSC,Mojica Airport,Costa Rica,Cañas
CSD,Cresswell Downs Airport,Australia,Cresswell Downs
CSE,Crested Butte Airpark,United States of America,Crested Butte
CSG,Columbus Metropolitan Airport,United States of America,Columbus
CSH,Solovki Airport,Russia,Solovetsky Islands
CSI,Casino Airport,Australia,
CSK,Cap Skirring Airport,Senegal,Cap Skirring
CSM,Clinton Sherman Airport,United States of America,Clinton
CSN,Carson Airport,United States of America,Carson City
CSO,Cochstedt Airport,Germany,Hecklingen
CSQ,Creston Municipal Airport,United States of America,Creston
CSR,Casuarito Airport,Colombia,Casuarito
CSS,Cassilândia Airport,Brazil,Cassilândia
CSU,Santa Cruz do Sul Airport,Brazil,Santa Cruz do Sul
CSV,Crossville Memorial Airport Whitson Field,United States of America,Crossville
CSX,Changsha Huanghua International Airport,China,Changsha (Changsha)
CSY,Cheboksary Airport,Russia,Cheboksary
CSZ,Brigadier D.H.E. Ruiz Airport,Argentina,Coronel Suarez
CTA,Catania-Fontanarossa Airport,Italy,Catania
CTB,Cut Bank International Airport,United States of America,Cut Bank
CTC,Coronel Felipe Varela International Airport,Argentina,Catamarca
CTD,Alonso Valderrama Airport,Panama,Chitré
CTE,Cartí Airport,Panama,Cartí Islands
CTF,Coatepeque Airport,Guatemala,Coatepeque
CTG,Rafael Nuñez International Airport,Colombia,Cartagena
CTH,Chester County G O Carlson Airport,United States of America,Coatesville
CTI,Cuito Cuanavale Airport,Angola,Cuito Cuanavale
CTK,Canton Municipal Airport,United States of America,Canton
CTL,Charleville Airport,Australia,Charleville
CTM,Chetumal International Airport,Mexico,Chetumal
CTN,Cooktown Airport,Australia,
CTO,Calverton Executive Airpark,United States of America,Calverton
CTQ,Santa Vitória do Palmar Airport,Brazil,Santa Vitória do Palmar
CTR,Cattle Creek Airport,Australia,
CTS,New Chitose Airport,Japan,Sapporo
CTT,Le Castellet Airport,France,"Le Castellet, Var"
CTU,Chengdu Shuangliu International Airport,China,Chengdu (Shuangliu)
CTX,Cortland County Chase Field,United States of America,Cortland
CTY,Cross City Airport,United States of America,Cross City
CTZ,Sampson County Airport,United States of America,Clinton
CUA,Ciudad Constitución National Airport,Mexico,Comondú
CUB,Jim Hamilton L.B. Owens Airport,United States of America,Columbia
CUC,Camilo Daza International Airport,Colombia,Cúcuta
CUD,Caloundra Airport,Australia,Caloundra
CUE,Mariscal Lamar Airport,Ecuador,Cuenca
CUF,Cuneo International Airport,Italy,Levaldigi (CN)
CUG,Cudal Airport,Australia,
CUH,Cushing Municipal Airport,United States of America,Cushing
CUI,Currillo Airport,Colombia,Currillo
CUJ,Culion Airport,Philippines,Culion
CUK,Caye Caulker Airport,Belize,Caye Caulker
CUL,Bachigualato Federal International Airport,Mexico,Culiacán
CUM,Antonio José de Sucre Airport,Venezuela,Cumaná
CUN,Cancún International Airport,Mexico,Cancún
CUO,Carurú Airport,Colombia,Carurú
CUP,General Francisco Bermúdez Airport,Venezuela,Carúpano
CUQ,Coen Airport,Australia,Coen
CUR,Hato International Airport,Curacao,Willemstad
CUT,Cutral-Co Airport,Argentina,Cutral-Co
CUU,General Roberto Fierro Villalobos International Airport,Mexico,Chihuahua
CUV,Casigua El Cubo Airport,Venezuela,Casigua El Cubo
CUY,Cue Airport,Australia,
CUZ,Alejandro Velasco Astete International Airport,Peru,Cusco
CVB,Chungribu Airport,Papua New Guinea,Chungribu
CVC,Cleve Airport,Australia,
CVE,Coveñas Airport,Colombia,Coveñas
CVF,Courchevel Altiport,France,Saint-Bon
CVG,Cincinnati Northern Kentucky International Airport,United States of America,Cincinnati / Covington
CVH,Caviahue Airport,Argentina,Lafontaine
CVI,Caleta Olivia Airport,Argentina,Caleta Olivia
CVJ,General Mariano Matamoros International Airport,Mexico,Temixco
CVL,Cape Vogel Airport,Papua New Guinea,
CVM,General Pedro Jose Mendez International Airport,Mexico,Ciudad Victoria
CVN,Clovis Municipal Airport,United States of America,Clovis
CVO,Corvallis Municipal Airport,United States of America,Corvallis
CVQ,Carnarvon Airport,Australia,Carnarvon
CVS,Cannon Air Force Base,United States of America,Clovis
CVT,Coventry Airport,United Kingdom,"Coventry, West Midlands"
CVU,Corvo Airport,Portugal,Corvo
CWA,Central Wisconsin Airport,United States of America,Mosinee
CWB,Afonso Pena Airport,Brazil,Curitiba
CWC,Chernivtsi International Airport,Ukraine,Chernivtsi
CWE,Cairo West Airport,Egypt,El Cairo
CWF,Chennault International Airport,United States of America,Lake Charles
CWI,Clinton Municipal Airport,United States of America,Clinton
CWJ,Cangyuan Washan Airport,China,Lincang (Cangyuan)
CWL,Cardiff International Airport,United Kingdom,Cardiff
CWP,Campbellpore Airport,Pakistan,Campbellpore
CWR,Cowarie Airport,Australia,
CWS,Center Island Airport,United States of America,Center Island
CWT,Cowra Airport,Australia,
CWW,Corowa Airport,Australia,
CWX,Cochise County Airport,United States of America,Willcox
CXA,Caicara del Orinoco Airport,Venezuela,
CXB,Cox's Bazar Airport,Bangladesh,Cox's Bazar
CXC,Chitina Airport,United States of America,Chitina
CXF,Coldfoot Airport,United States of America,Coldfoot
CXI,Cassidy International Airport,Kiribati,Kiritimati
CXJ,Hugo Cantergiani Regional Airport,Brazil,Caxias Do Sul
CXL,Calexico International Airport,United States of America,Calexico
CXM,Camaxilo Airport,Angola,Camaxilo
CXN,Candala Airport,Somalia,Candala
CXO,Conroe-North Houston Regional Airport,United States of America,Houston
CXP,Tunggul Wulung Airport,Indonesia,Cilacap
CXQ,Christmas Creek Station Airport,Australia,Wangkat Jungka
CXR,Cam Ranh International Airport / Cam Ranh Air Base,Vietnam,Cam Ranh
CXT,Charters Towers Airport,Australia,
CXY,Cat Cay Airport,Bahamas,North Cat Cay
CYA,Antoine-Simon International Airport,Haiti,Les Cayes
CYB,Charles Kirkconnell International Airport,Cayman Islands,West End
CYC,Caye Chapel Airport,Belize,Caye Chapel
CYD,San Ignacio Town (Maya Flats) Airstrip,Belize,Maya Flats
CYF,Chefornak Airport,United States of America,Chefornak
CYG,Corryong Airport,Australia,
CYI,Chiayi Airport,Taiwan,Shuishang
CYL,Coyoles Airport,Honduras,Coyoles
CYO,Vilo Acuña International Airport,Cuba,Cayo Largo del Sur
CYP,Calbayog Airport,Philippines,Calbayog City
CYR,Colonia Laguna de Los Patos International Airport,Uruguay,Colonia del Sacramento
CYS,Cheyenne Regional Jerry Olson Field,United States of America,Cheyenne
CYT,Yakataga Airport,United States of America,Yakataga
CYU,Cuyo Airport,Philippines,Cuyo
CYW,Captain Rogelio Castillo National Airport,Mexico,Celaya
CYX,Cherskiy Airport,Russia,Cherskiy
CYZ,Cauayan Airport,Philippines,Cauayan City
CZA,Chichén Itzá International Airport,Mexico,Tinúm
CZB,Carlos Ruhl Airport,Brazil,Cruz Alta
CZC,Copper Center 2 Airport,United States of America,Copper Center
CZE,José Leonardo Chirinos Airport,Venezuela,Coro
CZF,Cape Romanzof LRRS Airport,United States of America,Cape Romanzof
CZH,Corozal Airport,Belize,Corozal
CZJ,Corazón de Jesús Airport,Panama,Tupile
CZK,Cascade Locks State Airport,United States of America,Cascade Locks
CZL,Mohamed Boudiaf International Airport,Algeria,Constantine
CZM,Cozumel International Airport,Mexico,Cozumel
CZN,Chisana Airport,United States of America,Chisana
CZO,Chistochina Airport,United States of America,Chistochina
CZS,Cruzeiro do Sul Airport,Brazil,Cruzeiro Do Sul
CZT,Dimmit County Airport,United States of America,Carrizo Springs
CZU,Las Brujas Airport,Colombia,Corozal
CZW,Częstochowa-Rudniki Airport,Poland,Rudniki
CZX,Changzhou Benniu International Airport,China,Changzhou
CZY,Cluny Airport,Australia,
DAA,Davison Army Air Field,United States of America,Fort Belvoir
DAB,Daytona Beach International Airport,United States of America,Daytona Beach
DAC,Hazrat Shahjalal International Airport,Bangladesh,Dhaka
DAD,Da Nang International Airport,Vietnam,Da Nang
DAF,Daup Airport,Papua New Guinea,
DAG,Barstow Daggett Airport,United States of America,Daggett
DAK,Ad Dakhla Airport,Egypt,Dakhla Oases
DAL,Dallas Love Field,United States of America,Dallas
DAM,Damascus International Airport,Syria,Damascus
DAN,Danville Regional Airport,United States of America,Danville
DAO,Dabo Airport,Papua New Guinea,
DAP,Darchula Airport,Nepal,Darchula
DAR,Julius Nyerere International Airport,Tanzania,Dar es Salaam
DAS,Great Bear Lake Airport,Canada,Great Bear Lake
DAT,Datong Yungang Airport,China,Datong
DAU,Daru Airport,Papua New Guinea,Daru
DAV,Enrique Malek International Airport,Panama,David
DAX,Dachuan Airport,China,Dazhou (Daxian)
DAY,James M Cox Dayton International Airport,United States of America,Dayton
DAZ,Darwaz Airport,Afghanistan,Darwaz
DBA,Dalbandin Airport,Pakistan,Dalbandin
DBB,El Alamein International Airport,Egypt,El Alamein
DBC,Baicheng Chang'an Airport,China,Baicheng
DBD,Dhanbad Airport,India,
DBM,Debre Markos Airport,Ethiopia,Debre Markos
DBN,W H 'Bud' Barron Airport,United States of America,Dublin
DBO,Dubbo City Regional Airport,Australia,Dubbo
DBP,Debepare Airport,Papua New Guinea,Debepare
DBQ,Dubuque Regional Airport,United States of America,Dubuque
DBR,Darbhanga Airport,India,Darbhanga
DBS,Dubois Municipal Airport,United States of America,Dubois
DBT,Debre Tabor Airport,Ethiopia,Debre Tabor
DBV,Dubrovnik Ruđer Bošković Airport,Croatia,Čilipi
DBY,Dalby Airport,Australia,
DCA,Ronald Reagan Washington National Airport,United States of America,Washington
DCF,Canefield Airport,Dominica,Canefield
DCK,Dahl Creek Airport,United States of America,Dahl Creek
DCM,Castres Mazamet Airport,France,Castres
DCN,RAAF Base Curtin,Australia,Derby
DCT,Duncan Town Airport,Bahamas,Duncan Town
DCU,Pryor Field Regional Airport,United States of America,Decatur
DCY,Daocheng Yading Airport,China,Garzê (Daocheng)
DDC,Dodge City Regional Airport,United States of America,Dodge City
DDD,Dhaalu Atoll Airport,Maldives,Kudahuvadhoo
DDG,Dandong Langtou Airport,China,Dandong (Zhenxing)
DDM,Dodoima Airport,Papua New Guinea,
DDN,Delta Downs Airport,Australia,
DDR,Rikaze Dingri Airport,China,Xigazê (Dingri)
DDU,Dadu West Airport,Pakistan,Dadu
DEA,Dera Ghazi Khan Airport,Pakistan,Dera Ghazi Khan
DEB,Debrecen International Airport,Hungary,Debrecen
DEC,Decatur Airport,United States of America,Decatur
DED,Dehradun Jolly Grant Airport,India,Dehradun (Jauligrant)
DEE,Yuzhno-Kurilsk Mendeleyevo Airport,Russia,Yuzhno-Kurilsk
DEF,Dezful Airport,Iran,Dezful
DEH,Decorah Municipal Airport,United States of America,Decorah
DEI,Denis Island Airport,Seychelles,Denis Island
DEJ,Tongren Dejiang Airport (Under Construction),China,Tongren
DEL,Indira Gandhi International Airport,India,New Delhi
DEM,Dembidollo Airport,Ethiopia,Dembidollo
DEN,Denver International Airport,United States of America,Denver
DEP,Daporijo Airport,India,Daporijo
DER,Derim Airport,Papua New Guinea,Derim
DES,Desroches Airport,Seychelles,Desroches Island
DET,Coleman A. Young Municipal Airport,United States of America,Detroit
DEX,Nop Goliat Dekai Airport,Indonesia,Dekai
DEZ,Deir ez-Zor Airport,Syria,Deir ez-Zor
DFI,Defiance Memorial Airport,United States of America,Defiance
DFP,Drumduff Airport,Australia,Palmer
DFW,Dallas Fort Worth International Airport,United States of America,Dallas-Fort Worth
DGA,Dangriga Airport,Belize,Dangriga
DGD,Dalgaranga Gold Mine Airport,Australia,
DGE,Mudgee Airport,Australia,Mudgee
DGF,Douglas Lake Airport,Canada,Douglas Lake
DGH,Deoghar Airport,India,Deoghar
DGL,Douglas Municipal Airport,United States of America,Douglas
DGN,Dahlgren Naval Surface Warfare Center Airport,United States of America,Dahlgren
DGO,General Guadalupe Victoria International Airport,Mexico,Durango
DGP,Daugavpils International Airport,Latvia,Daugavpils
DGR,Dargaville Aerodrome,New Zealand,Dargaville
DGT,Sibulan Airport,Philippines,Dumaguete City
DGU,Dedougou Airport,Burkina Faso,Dedougou
DGW,Converse County Airport,United States of America,Douglas
DHD,Durham Downs Airport,Australia,
DHG,Dalnegorsk Airport,Russia,Dalnegorsk
DHI,Dhangarhi Airport,Nepal,Dhangarhi
DHM,Kangra Airport,India,Kangra
DHN,Dothan Regional Airport,United States of America,Dothan
DHR,De Kooy Airfield / Den Helder Naval Air Station,Netherlands,Den Helder
DHT,Dalhart Municipal Airport,United States of America,Dalhart
DHX,Dhoho International Airport,Indonesia,Kediri
DIA,Doha International Airport,Qatar,Doha
DIB,Dibrugarh Airport,India,Dibrugarh
DIE,Arrachart Airport,Madagascar,Antisiranana
DIG,Diqing Shangri-La Airport,China,Diqing (Shangri-La)
DIJ,Dijon Longvic airport,France,Dijon
DIK,Dickinson Theodore Roosevelt Regional Airport,United States of America,Dickinson
DIL,Presidente Nicolau Lobato International Airport,East Timor,Dili
DIM,Dimbokro Airport,Ivory Coast,Dimbokro
DIN,Dien Bien Phu Airport,Vietnam,Dien Bien Phu
DIP,Diapaga Airport,Burkina Faso,Diapaga
DIQ,Brigadeiro Cabral Airport,Brazil,Divinópolis
DIR,Aba Tenna Dejazmach Yilma International Airport,Ethiopia,Dire Dawa
DIS,Ngot Nzoungou Airport,Republic of the Congo,Dolisie
DIU,Diu Airport,India,Diu
DIY,Diyarbakır Airport,Turkey,Diyarbakır
DJA,Djougou Airport,Benin,Djougou
DJB,Sultan Thaha Airport,Indonesia,Jambi
DJE,Djerba Zarzis International Airport,Tunisia,Mellita
DJG,Djanet Inedbirene Airport,Algeria,Djanet
DJJ,Dortheys Hiyo Eluay International Airport,Indonesia,Sentani
DJM,Djambala Airport,Republic of the Congo,Djambala
DJN,Delta Junction Airport,United States of America,Delta Junction
DJO,Daloa Airport,Ivory Coast,
DJR,Dajarra Airport,Australia,
DJU,Djúpivogur Airport,Iceland,Djúpivogur
DKA,Katsina Airport,Nigeria,Katsina
DKI,Dunk Island Airport,Australia,Dunk Island
DKK,Chautauqua County-Dunkirk Airport,United States of America,Dunkirk
DKR,Léopold Sédar Senghor International Airport,Senegal,Dakar
DKS,Dikson Airport,Russia,Dikson
DKV,Docker River Airport,Australia,Kaltukatjara
DLA,Douala International Airport,Cameroon,Douala
DLC,Dalian Zhoushuizi International Airport,China,Dalian (Ganjingzi)
DLE,Dole Tavaux Airport,France,Dole
DLF,Laughlin Air Force Base,United States of America,Del Rio
DLG,Dillingham Airport,United States of America,Dillingham
DLH,Duluth International Airport,United States of America,Duluth
DLI,Lien Khuong Airport,Vietnam,Da Lat
DLK,Dulkaninna Airport,Australia,Dulkaninna
DLL,Dillon County Airport,United States of America,Dillon
DLM,Dalaman International Airport,Turkey,Dalaman
DLN,Dillon Airport,United States of America,Dillon
DLR,Dalnerechensk Airport,Russia,Dalnerechensk
DLS,Columbia Gorge Regional Airport,United States of America,Dallesport / The Dalles
DLU,Dali Fengyi Airport,China,Dali (Xiaguan)
DLV,Delissaville Airport,Australia,
DLY,Dillon's Bay Airport,Vanuatu,Dillon's Bay
DLZ,Dalanzadgad Airport,Mongolia,Dalanzadgad
DMA,Davis Monthan Air Force Base,United States of America,Tucson
DMB,Taraz Airport,Kazakhstan,Taraz
DMD,Doomadgee Airport,Australia,
DME,Domodedovo International Airport,Russia,Moscow
DMK,Don Mueang International Airport,Thailand,Bangkok
DMM,King Fahd International Airport,Saudi Arabia,Ad Dammam
DMN,Deming Municipal Airport,United States of America,Deming
DMO,Sedalia Memorial Airport,United States of America,Sedalia
DMT,Diamantino Airport,Brazil,Diamantino
DMU,Dimapur Airport,India,Dimapur
DNB,Dunbar Airport,Australia,Maramie
DND,Dundee Airport,United Kingdom,Dundee
DNG,Doongan Airport,Australia,Drysdale River
DNH,Dunhuang Mogao International Airport,China,Dunhuang
DNK,Dnipro International Airport,Ukraine,Dnipro
DNL,Daniel Field,United States of America,Augusta
DNN,Dalton Municipal Airport,United States of America,Dalton
DNO,Dianópolis Airport,Brazil,Dianópolis
DNP,Tulsipur Airport,Nepal,Dang
DNQ,Deniliquin Airport,Australia,Deniliquin
DNR,Dinard Pleurtuit Saint-Malo airport,France,Dinard
DNS,Denison Municipal Airport,United States of America,Denison
DNU,Dinangat Airport,Papua New Guinea,Dinangat
DNV,Vermilion Regional Airport,United States of America,Danville
DNX,Galegu Airport,Sudan,Dinder
DNZ,Çardak Airport,Turkey,Denizli
DOA,Doany Airport,Madagascar,Doany
DOB,Rar Gwamar Airport,Indonesia,Dobo-Warmar Island
DOC,Dornoch Airfield,United Kingdom,"Dornoch, Sunderland"
DOD,Dodoma Airport,Tanzania,Dodoma
DOE,Djumu-Djomoe Airport,Suriname,Djumu-Djomoe
